x,y,z,label
0.704381,2.051921,1.179286,reconstructed_only
0.747327,-4.020471,1.89,reconstructed_only
0.747327,-4.020471,1.98,reconstructed_only
0.747327,-4.020471,2.07,reconstructed_only
0.747327,-4.020471,2.16,reconstructed_only
0.747327,-4.020471,2.25,reconstructed_only
0.747327,-4.020471,2.34,reconstructed_only
0.747327,-4.020471,2.43,reconstructed_only
0.747327,-4.020471,2.52,reconstructed_only
0.747327,-4.020471,2.61,reconstructed_only
0.747327,-4.020471,2.7,reconstructed_only
0.747327,-4.020471,2.79,reconstructed_only
0.747327,-4.020471,2.88,reconstructed_only
0.744379,-2.806503,2.186429,reconstructed_only
0.745997,-2.173279,1.347143,reconstructed_only
0.809316,-3.051526,2.522143,reconstructed_only
0.776847,-2.929015,2.354286,reconstructed_only
0.787612,-2.294637,1.355,reconstructed_only
0.787612,-2.294637,1.515,reconstructed_only
0.841785,-3.174038,2.69,reconstructed_only
0.829228,-2.415994,1.522857,reconstructed_only
0.829228,-2.415994,1.682857,reconstructed_only
0.895832,-4.007501,1.44,reconstructed_only
0.895832,-4.007501,1.53,reconstructed_only
0.895832,-4.007501,1.62,reconstructed_only
0.895832,-4.007501,1.71,reconstructed_only
0.895832,-4.007501,1.8,reconstructed_only
0.895832,-4.007501,1.89,reconstructed_only
0.895832,-4.007501,1.98,reconstructed_only
0.895832,-4.007501,2.07,reconstructed_only
0.895832,-4.007501,2.16,reconstructed_only
0.895832,-4.007501,2.25,reconstructed_only
0.895832,-4.007501,2.34,reconstructed_only
0.895832,-4.007501,2.43,reconstructed_only
0.895832,-4.007501,2.52,reconstructed_only
0.895832,-4.007501,2.61,reconstructed_only
0.895832,-4.007501,2.7,reconstructed_only
0.895832,-4.007501,2.79,reconstructed_only
0.895832,-4.007501,2.88,reconstructed_only
0.870843,-2.537352,1.690714,reconstructed_only
0.870843,-2.537352,1.850714,reconstructed_only
0.857552,2.027617,1.019286,reconstructed_only
0.857552,2.027617,1.179286,reconstructed_only
0.912459,-2.65871,1.858571,reconstructed_only
0.912459,-2.65871,2.018571,reconstructed_only
0.908217,-2.147537,1.347143,reconstructed_only
0.908217,2.147537,1.187143,reconstructed_only
0.908217,2.147537,1.347143,reconstructed_only
0.954074,-2.780067,2.026429,reconstructed_only
0.954074,-2.780067,2.186429,reconstructed_only
0.958882,-2.267458,1.515,reconstructed_only
0.958882,2.267458,1.355,reconstructed_only
0.99569,-2.901425,2.194286,reconstructed_only
0.99569,-2.901425,2.354286,reconstructed_only
1.009547,-2.387378,1.682857,reconstructed_only
